Abraham  Ralph,202-225-8490,"417 CHOB,Louisiana 5th District"
Adams  Alma,202-225-1510,"222 CHOB,North Carolina 12th District"
Aderholt  Robert,202-225-4876,"235 CHOB,Alabama 4th District"
Aguilar  Pete,202-225-3201,"1223 LHOB,California 31st District"
Allen  Rick,202-225-2823,"426 CHOB,Georgia 12th District"
Amash  Justin,202-225-3831,"114 CHOB,Michigan 3rd District"
Amodei  Mark,202-225-6155,"332 CHOB,Nevada 2nd District"
Arrington  Jodey,202-225-4005,"1029 LHOB,Texas 19th District"
Babin  Brian,202-225-1555,"316 CHOB,Texas 36th District"
Bacon  Don,202-225-4155,"1516 LHOB,Nebraska 2nd District"
Banks  Jim,202-225-4436,"509 CHOB,Indiana 3rd District"
Barletta  Lou,202-225-6511,"2049 RHOB,Pennsylvania 11th District"
Barr  Andy,202-225-4706,"1427 LHOB,Kentucky 6th District"
Barragán  Nanette,202-225-8220,"1320 LHOB,California 44th District"
Barton  Joe,202-225-2002,"2107 RHOB,Texas 6th District"
Bass  Karen,202-225-7084,"2241 RHOB,California 37th District"
Beatty  Joyce,202-225-4324,"133 CHOB,Ohio 3rd District"
Becerra  Xavier,202-225-6235,"1226 LHOB,California 34th District"
Bera  Ami,202-225-5716,"1431 LHOB,California 7th District"
Bergman  Jack,202-225-4735,"414 CHOB,Michigan 1st District"
Beutler  Jaime Herrera,202-225-3536,"1107 LHOB,Washington 3rd District"
Beyer  Don,202-225-4376,"1119 LHOB,Virginia 8th District"
Biggs  Andy,202-225-2635,"1626 LHOB,Arizona 5th District"
Bilirakis  Gus M.,202-225-5755,"2112 RHOB,Florida 12th District"
Bishop  Mike,202-225-4872,"428 CHOB,Michigan 8th District"
Bishop  Rob,202-225-0453,"123 CHOB,Utah 1st District"
Bishop Jr.  Sanford D.,202-225-3631,"2407 RHOB,Georgia 2nd District"
Black  Diane,202-225-4231,"1131 LHOB,Tennessee 6th District"
Blackburn  Marsha,202-225-2811,"2266 RHOB,Tennessee 7th District"
Blum  Rod,202-225-2911,"1108 LHOB,Iowa 1st District"
Blumenauer  Earl,202-225-4811,"1111 LHOB,Oregon 3rd District"
Blunt Rochester  Lisa,202-225-4165,"1123 LHOB,Delaware At-Large"
Bonamici  Suzanne,202-225-0855,"439 CHOB,Oregon 1st District"
Bordallo  Madeleine,202-225-1188,"2441 RHOB,Guam At-Large"
Bost  Mike,202-225-5661,"1440 LHOB,Illinois 12th District"
Boyle  Brendan,202-225-6111,"1133 LHOB,Pennsylvania 13th District"
Brady  Kevin,202-225-4901,"1011 LHOB,Texas 8th District"
Brady  Robert,202-225-4731,"2004 RHOB,Pennsylvania 1st District"
Brat  Dave,202-225-2815,"1628 LHOB,Virginia 7th District"
Bridenstine  Jim,202-225-2211,"216 CHOB,Oklahoma 1st District"
Brooks  Mo,202-225-4801,"2400 RHOB,Alabama 5th District"
Brooks  Susan W.,202-225-2276,"1030 LHOB,Indiana 5th District"
Brown  Anthony,202-225-8699,"1505 LHOB,Maryland 4th District"
Brownley  Julia,202-225-5811,"1019 LHOB,California 26th District"
Buchanan  Vern,202-225-5015,"2104 RHOB,Florida 16th District"
Buck  Ken,202-225-4676,"1130 LHOB,Colorado 4th District"
Bucshon  Larry,202-225-4636,"1005 LHOB,Indiana 8th District"
Budd  Ted,202-225-4531,"118 CHOB,North Carolina 13th District"
Burgess  Michael,202-225-7772,"2336 RHOB,Texas 26th District"
Bustos  Cheri,202-225-5905,"1009 LHOB,Illinois 17th District"
Butterfield  G.K.,202-225-3101,"2080 RHOB,North Carolina 1st District"
Byrne  Bradley,202-225-4931,"119 CHOB,Alabama 1st District"
Calvert  Ken,202-225-1986,"2205 RHOB,California 42nd District"
Capuano  Michael E.,202-225-5111,"1414 LHOB,Massachusetts 7th District"
Carbajal  Salud,202-225-3601,"212 CHOB,California 24th District"
Cárdenas  Tony,202-225-6131,"1510 LHOB,California 29th District"
Carson  André,202-225-4011,"2135 RHOB,Indiana 7th District"
Carter  Buddy,202-225-5831,"432 CHOB,Georgia 1st District"
Carter  John,202-225-3864,"2110 RHOB,Texas 31st District"
Cartwright  Matthew,202-225-5546,"1034 LHOB,Pennsylvania 17th District"
Castor  Kathy,202-225-3376,"2052 RHOB,Florida 14th District"
Castro  Joaquin,202-225-3236,"1221 LHOB,Texas 20th District"
Chabot  Steve,202-225-2216,"2371 RHOB,Ohio 1st District"
Chaffetz  Jason,202-225-7751,"2236 RHOB,Utah 3rd District"
Cheney  Liz,202-225-2311,"416 CHOB,Wyoming At-Large"
Chu  Judy,202-225-5464,"2423 RHOB,California 27th District"
Cicilline  David,202-225-4911,"2244 RHOB,Rhode Island 1st District"
Clark  Katherine,202-225-2836,"1415 LHOB,Massachusetts 5th District"
Clarke  Yvette D.,202-225-6231,"2058 RHOB,New York 9th District"
"Clay Jr.  William ""Lacy""",202-225-2406,"2428 RHOB,Missouri 1st District"
Cleaver  Emanuel,202-225-4535,"2335 RHOB,Missouri 5th District"
Clyburn  James E.,202-225-3315,"242 CHOB,South Carolina 6th District"
Coffman  Mike,202-225-7882,"2443 RHOB,Colorado 6th District"
Cohen  Steve,202-225-3265,"2404 RHOB,Tennessee 9th District"
Cole  Tom,202-225-6165,"2467 RHOB,Oklahoma 4th District"
Collins  Chris,202-225-5265,"1117 LHOB,New York 27th District"
Collins  Doug,202-225-9893,"1504 LHOB,Georgia 9th District"
Comer  James,202-225-3115,"1513 LHOB,Kentucky 1st District"
Comstock  Barbara,202-225-5136,"229 CHOB,Virginia 10th District"
Conaway  K. Michael,202-225-3605,"2430 RHOB,Texas 11th District"
"Connolly  Gerald E. ""Gerry""",202-225-1492,"2238 RHOB,Virginia 11th District"
Conyers Jr.  John,202-225-5126,"2426 RHOB,Michigan 13th District"
Cook  Paul,202-225-5861,"1222 LHOB,California 8th District"
Cooper  Jim,202-225-4311,"1536 LHOB,Tennessee 5th District"
Correa  J. Luis,202-225-2965,"1039 LHOB,California 46th District"
Costa  Jim,202-225-3341,"2081 RHOB,California 16th District"
Costello  Ryan,202-225-4315,"326 CHOB,Pennsylvania 6th District"
Courtney  Joe,202-225-2076,"2348 RHOB,Connecticut 2nd District"
Cramer  Kevin,202-225-2611,"1717 LHOB,North Dakota At-Large"
Crawford  Rick,202-225-4076,"2422 RHOB,Arkansas 1st District"
Crist  Charlie,202-225-5961,"427 CHOB,Florida 13th District"
Crowley  Joseph,202-225-3965,"1035 LHOB,New York 14th District"
Cuellar  Henry,202-225-1640,"2209 RHOB,Texas 28th District"
Culberson  John,202-225-2571,"2161 RHOB,Texas 7th District"
Cummings  Elijah,202-225-4741,"2163 RHOB,Maryland 7th District"
Curbelo  Carlos,202-225-2778,"1404 LHOB,Florida 26th District"
